game_id,round_in_game,round_overall,move_a,move_b,move_a_name,move_b_name,outcome
1,1,1,p,p,Paper,Paper,Tie
1,2,2,p,p,Paper,Paper,Tie
1,3,3,s,x,Rock,Scissors,A_win
1,4,4,x,s,Scissors,Rock,B_win
1,5,5,p,x,Paper,Scissors,B_win
1,6,6,p,x,Paper,Scissors,B_win
2,1,7,x,s,Scissors,Rock,B_win
2,2,8,p,s,Paper,Rock,A_win
2,3,9,p,s,Paper,Rock,A_win
2,4,10,x,x,Scissors,Scissors,Tie
2,5,11,p,x,Paper,Scissors,B_win
2,6,12,s,x,Rock,Scissors,A_win
3,1,13,x,s,Scissors,Rock,B_win
3,2,14,p,p,Paper,Paper,Tie
3,3,15,s,s,Rock,Rock,Tie
3,4,16,s,x,Rock,Scissors,A_win
3,5,17,x,p,Scissors,Paper,A_win
3,6,18,p,p,Paper,Paper,Tie
3,7,19,p,p,Paper,Paper,Tie
3,8,20,p,p,Paper,Paper,Tie
3,9,21,x,x,Scissors,Scissors,Tie
3,10,22,p,x,Paper,Scissors,B_win
3,11,23,p,x,Paper,Scissors,B_win
4,1,24,x,x,Scissors,Scissors,Tie
4,2,25,x,x,Scissors,Scissors,Tie
4,3,26,x,x,Scissors,Scissors,Tie
4,4,27,s,s,Rock,Rock,Tie
4,5,28,x,x,Scissors,Scissors,Tie
4,6,29,s,p,Rock,Paper,B_win
4,7,30,x,x,Scissors,Scissors,Tie
4,8,31,x,s,Scissors,Rock,B_win
4,9,32,x,x,Scissors,Scissors,Tie
4,10,33,p,p,Paper,Paper,Tie
4,11,34,x,x,Scissors,Scissors,Tie
4,12,35,p,s,Paper,Rock,A_win
4,13,36,x,x,Scissors,Scissors,Tie
4,14,37,p,p,Paper,Paper,Tie
4,15,38,x,x,Scissors,Scissors,Tie
4,16,39,s,x,Rock,Scissors,A_win
4,17,40,x,x,Scissors,Scissors,Tie
4,18,41,s,s,Rock,Rock,Tie
4,19,42,x,x,Scissors,Scissors,Tie
4,20,43,x,p,Scissors,Paper,A_win
5,1,44,x,s,Scissors,Rock,B_win
5,2,45,p,s,Paper,Rock,A_win
5,3,46,p,x,Paper,Scissors,B_win
5,4,47,p,x,Paper,Scissors,B_win
6,1,48,p,p,Paper,Paper,Tie
6,2,49,s,x,Rock,Scissors,A_win
6,3,50,x,s,Scissors,Rock,B_win
6,4,51,p,x,Paper,Scissors,B_win
6,5,52,s,s,Rock,Rock,Tie
6,6,53,s,s,Rock,Rock,Tie
6,7,54,s,s,Rock,Rock,Tie
6,8,55,x,p,Scissors,Paper,A_win
6,9,56,p,s,Paper,Rock,A_win
7,1,57,s,p,Rock,Paper,B_win
7,2,58,s,x,Rock,Scissors,A_win
7,3,59,p,p,Paper,Paper,Tie
7,4,60,s,x,Rock,Scissors,A_win
7,5,61,x,p,Scissors,Paper,A_win
8,1,62,p,p,Paper,Paper,Tie
8,2,63,p,s,Paper,Rock,A_win
8,3,64,x,x,Scissors,Scissors,Tie
8,4,65,p,s,Paper,Rock,A_win
8,5,66,x,x,Scissors,Scissors,Tie
8,6,67,s,p,Rock,Paper,B_win
8,7,68,x,p,Scissors,Paper,A_win
9,1,69,p,x,Paper,Scissors,B_win
9,2,70,p,s,Paper,Rock,A_win
9,3,71,p,x,Paper,Scissors,B_win
9,4,72,s,x,Rock,Scissors,A_win
9,5,73,p,x,Paper,Scissors,B_win
10,1,74,s,x,Rock,Scissors,A_win
10,2,75,p,p,Paper,Paper,Tie
10,3,76,x,s,Scissors,Rock,B_win
10,4,77,x,x,Scissors,Scissors,Tie
10,5,78,s,s,Rock,Rock,Tie
10,6,79,s,x,Rock,Scissors,A_win
10,7,80,p,x,Paper,Scissors,B_win
11,1,81,p,p,Paper,Paper,Tie
11,2,82,p,p,Paper,Paper,Tie
11,3,83,p,p,Paper,Paper,Tie
11,4,84,s,p,Rock,Paper,B_win
11,5,85,x,x,Scissors,Scissors,Tie
11,6,86,s,p,Rock,Paper,B_win
11,7,87,s,p,Rock,Paper,B_win
12,1,88,x,p,Scissors,Paper,A_win
12,2,89,s,s,Rock,Rock,Tie
12,3,90,x,s,Scissors,Rock,B_win
12,4,91,p,p,Paper,Paper,Tie
12,5,92,s,p,Rock,Paper,B_win
12,6,93,x,x,Scissors,Scissors,Tie
12,7,94,p,s,Paper,Rock,A_win
12,8,95,x,p,Scissors,Paper,A_win
13,1,96,x,s,Scissors,Rock,B_win
13,2,97,p,p,Paper,Paper,Tie
13,3,98,p,x,Paper,Scissors,B_win
13,4,99,p,p,Paper,Paper,Tie
13,5,100,p,x,Paper,Scissors,B_win
14,1,101,p,p,Paper,Paper,Tie
14,2,102,x,p,Scissors,Paper,A_win
14,3,103,p,x,Paper,Scissors,B_win
14,4,104,p,p,Paper,Paper,Tie
14,5,105,x,s,Scissors,Rock,B_win
14,6,106,s,x,Rock,Scissors,A_win
14,7,107,p,p,Paper,Paper,Tie
14,8,108,x,x,Scissors,Scissors,Tie
14,9,109,p,s,Paper,Rock,A_win
15,1,110,p,x,Paper,Scissors,B_win
15,2,111,s,x,Rock,Scissors,A_win
15,3,112,s,s,Rock,Rock,Tie
15,4,113,s,p,Rock,Paper,B_win
15,5,114,s,x,Rock,Scissors,A_win
15,6,115,s,p,Rock,Paper,B_win
16,1,116,p,p,Paper,Paper,Tie
16,2,117,x,p,Scissors,Paper,A_win
16,3,118,x,s,Scissors,Rock,B_win
16,4,119,p,p,Paper,Paper,Tie
16,5,120,p,s,Paper,Rock,A_win
16,6,121,s,p,Rock,Paper,B_win
16,7,122,x,p,Scissors,Paper,A_win
17,1,123,x,x,Scissors,Scissors,Tie
17,2,124,p,s,Paper,Rock,A_win
17,3,125,x,p,Scissors,Paper,A_win
17,4,126,p,x,Paper,Scissors,B_win
17,5,127,x,p,Scissors,Paper,A_win
18,1,128,x,s,Scissors,Rock,B_win
18,2,129,s,p,Rock,Paper,B_win
18,3,130,s,s,Rock,Rock,Tie
18,4,131,s,s,Rock,Rock,Tie
18,5,132,p,x,Paper,Scissors,B_win
19,1,133,p,x,Paper,Scissors,B_win
19,2,134,x,p,Scissors,Paper,A_win
19,3,135,s,s,Rock,Rock,Tie
19,4,136,p,s,Paper,Rock,A_win
19,5,137,x,x,Scissors,Scissors,Tie
19,6,138,s,s,Rock,Rock,Tie
19,7,139,p,x,Paper,Scissors,B_win
20,1,140,s,x,Rock,Scissors,A_win
20,2,141,x,p,Scissors,Paper,A_win
20,3,142,x,x,Scissors,Scissors,Tie
20,4,143,p,s,Paper,Rock,A_win
21,1,144,x,p,Scissors,Paper,A_win
21,2,145,x,p,Scissors,Paper,A_win
21,3,146,p,s,Paper,Rock,A_win
22,1,147,p,s,Paper,Rock,A_win
22,2,148,p,s,Paper,Rock,A_win
22,3,149,p,p,Paper,Paper,Tie
22,4,150,x,p,Scissors,Paper,A_win
23,1,151,x,x,Scissors,Scissors,Tie
23,2,152,x,s,Scissors,Rock,B_win
23,3,153,x,x,Scissors,Scissors,Tie
23,4,154,s,p,Rock,Paper,B_win
23,5,155,p,x,Paper,Scissors,B_win
24,1,156,s,p,Rock,Paper,B_win
24,2,157,p,x,Paper,Scissors,B_win
24,3,158,x,p,Scissors,Paper,A_win
24,4,159,s,p,Rock,Paper,B_win
25,1,160,p,s,Paper,Rock,A_win
25,2,161,x,s,Scissors,Rock,B_win
25,3,162,x,x,Scissors,Scissors,Tie
25,4,163,s,x,Rock,Scissors,A_win
25,5,164,p,s,Paper,Rock,A_win
26,1,165,x,x,Scissors,Scissors,Tie
26,2,166,s,x,Rock,Scissors,A_win
26,3,167,p,p,Paper,Paper,Tie
26,4,168,s,p,Rock,Paper,B_win
26,5,169,x,p,Scissors,Paper,A_win
26,6,170,p,p,Paper,Paper,Tie
26,7,171,p,x,Paper,Scissors,B_win
26,8,172,x,p,Scissors,Paper,A_win
27,1,173,x,x,Scissors,Scissors,Tie
27,2,174,p,s,Paper,Rock,A_win
27,3,175,s,x,Rock,Scissors,A_win
27,4,176,x,s,Scissors,Rock,B_win
27,5,177,s,p,Rock,Paper,B_win
27,6,178,x,x,Scissors,Scissors,Tie
27,7,179,p,s,Paper,Rock,A_win
28,1,180,p,s,Paper,Rock,A_win
28,2,181,x,x,Scissors,Scissors,Tie
28,3,182,p,x,Paper,Scissors,B_win
28,4,183,s,s,Rock,Rock,Tie
28,5,184,x,s,Scissors,Rock,B_win
28,6,185,p,x,Paper,Scissors,B_win
29,1,186,p,x,Paper,Scissors,B_win
29,2,187,x,x,Scissors,Scissors,Tie
29,3,188,s,x,Rock,Scissors,A_win
29,4,189,s,s,Rock,Rock,Tie
29,5,190,s,s,Rock,Rock,Tie
29,6,191,x,x,Scissors,Scissors,Tie
29,7,192,s,s,Rock,Rock,Tie
29,8,193,x,x,Scissors,Scissors,Tie
29,9,194,s,s,Rock,Rock,Tie
29,10,195,p,x,Paper,Scissors,B_win
29,11,196,p,x,Paper,Scissors,B_win
30,1,197,x,s,Scissors,Rock,B_win
30,2,198,p,p,Paper,Paper,Tie
30,3,199,x,s,Scissors,Rock,B_win
30,4,200,p,p,Paper,Paper,Tie
30,5,201,x,s,Scissors,Rock,B_win
31,1,202,s,x,Rock,Scissors,A_win
31,2,203,p,p,Paper,Paper,Tie
31,3,204,p,s,Paper,Rock,A_win
31,4,205,s,x,Rock,Scissors,A_win
32,1,206,p,p,Paper,Paper,Tie
32,2,207,x,p,Scissors,Paper,A_win
32,3,208,x,x,Scissors,Scissors,Tie
32,4,209,x,x,Scissors,Scissors,Tie
32,5,210,x,x,Scissors,Scissors,Tie
32,6,211,p,s,Paper,Rock,A_win
32,7,212,x,s,Scissors,Rock,B_win
32,8,213,p,x,Paper,Scissors,B_win
32,9,214,x,x,Scissors,Scissors,Tie
32,10,215,s,p,Rock,Paper,B_win
33,1,216,p,x,Paper,Scissors,B_win
33,2,217,x,s,Scissors,Rock,B_win
33,3,218,p,s,Paper,Rock,A_win
33,4,219,p,x,Paper,Scissors,B_win
34,1,220,s,x,Rock,Scissors,A_win
34,2,221,s,x,Rock,Scissors,A_win
34,3,222,p,p,Paper,Paper,Tie
34,4,223,x,x,Scissors,Scissors,Tie
34,5,224,s,s,Rock,Rock,Tie
34,6,225,x,x,Scissors,Scissors,Tie
34,7,226,s,s,Rock,Rock,Tie
34,8,227,x,p,Scissors,Paper,A_win
35,1,228,p,s,Paper,Rock,A_win
35,2,229,s,x,Rock,Scissors,A_win
35,3,230,s,s,Rock,Rock,Tie
35,4,231,s,x,Rock,Scissors,A_win
36,1,232,x,p,Scissors,Paper,A_win
36,2,233,x,s,Scissors,Rock,B_win
36,3,234,p,s,Paper,Rock,A_win
36,4,235,s,x,Rock,Scissors,A_win
37,1,236,s,p,Rock,Paper,B_win
37,2,237,s,x,Rock,Scissors,A_win
37,3,238,p,p,Paper,Paper,Tie
37,4,239,x,x,Scissors,Scissors,Tie
37,5,240,x,p,Scissors,Paper,A_win
37,6,241,s,p,Rock,Paper,B_win
37,7,242,s,p,Rock,Paper,B_win
38,1,243,x,s,Scissors,Rock,B_win
38,2,244,s,s,Rock,Rock,Tie
38,3,245,p,p,Paper,Paper,Tie
38,4,246,x,s,Scissors,Rock,B_win
38,5,247,x,s,Scissors,Rock,B_win
39,1,248,s,s,Rock,Rock,Tie
39,2,249,p,p,Paper,Paper,Tie
39,3,250,s,s,Rock,Rock,Tie
39,4,251,x,x,Scissors,Scissors,Tie
39,5,252,x,s,Scissors,Rock,B_win
39,6,253,s,x,Rock,Scissors,A_win
39,7,254,s,s,Rock,Rock,Tie
39,8,255,p,x,Paper,Scissors,B_win
39,9,256,x,s,Scissors,Rock,B_win
40,1,257,x,s,Scissors,Rock,B_win
40,2,258,x,p,Scissors,Paper,A_win
40,3,259,s,p,Rock,Paper,B_win
40,4,260,x,x,Scissors,Scissors,Tie
40,5,261,s,s,Rock,Rock,Tie
40,6,262,x,x,Scissors,Scissors,Tie
40,7,263,p,s,Paper,Rock,A_win
40,8,264,x,p,Scissors,Paper,A_win
41,1,265,x,p,Scissors,Paper,A_win
41,2,266,s,s,Rock,Rock,Tie
41,3,267,s,p,Rock,Paper,B_win
41,4,268,s,x,Rock,Scissors,A_win
41,5,269,x,s,Scissors,Rock,B_win
41,6,270,x,s,Scissors,Rock,B_win
42,1,271,x,x,Scissors,Scissors,Tie
42,2,272,s,x,Rock,Scissors,A_win
42,3,273,x,p,Scissors,Paper,A_win
42,4,274,s,x,Rock,Scissors,A_win
43,1,275,x,x,Scissors,Scissors,Tie
43,2,276,x,p,Scissors,Paper,A_win
43,3,277,p,x,Paper,Scissors,B_win
43,4,278,s,p,Rock,Paper,B_win
43,5,279,x,x,Scissors,Scissors,Tie
43,6,280,x,s,Scissors,Rock,B_win
44,1,281,x,p,Scissors,Paper,A_win
44,2,282,x,p,Scissors,Paper,A_win
44,3,283,s,x,Rock,Scissors,A_win
45,1,284,s,s,Rock,Rock,Tie
45,2,285,p,p,Paper,Paper,Tie
45,3,286,s,p,Rock,Paper,B_win
45,4,287,x,s,Scissors,Rock,B_win
45,5,288,s,p,Rock,Paper,B_win
46,1,289,s,x,Rock,Scissors,A_win
46,2,290,x,x,Scissors,Scissors,Tie
46,3,291,p,p,Paper,Paper,Tie
46,4,292,s,s,Rock,Rock,Tie
46,5,293,x,x,Scissors,Scissors,Tie
46,6,294,s,s,Rock,Rock,Tie
46,7,295,x,x,Scissors,Scissors,Tie
46,8,296,p,p,Paper,Paper,Tie
46,9,297,x,s,Scissors,Rock,B_win
46,10,298,p,p,Paper,Paper,Tie
46,11,299,x,s,Scissors,Rock,B_win
46,12,300,s,s,Rock,Rock,Tie
46,13,301,p,s,Paper,Rock,A_win
47,1,302,x,x,Scissors,Scissors,Tie
47,2,303,s,s,Rock,Rock,Tie
47,3,304,x,s,Scissors,Rock,B_win
47,4,305,p,s,Paper,Rock,A_win
47,5,306,x,x,Scissors,Scissors,Tie
47,6,307,p,s,Paper,Rock,A_win
47,7,308,x,s,Scissors,Rock,B_win
47,8,309,p,x,Paper,Scissors,B_win
48,1,310,x,x,Scissors,Scissors,Tie
48,2,311,s,s,Rock,Rock,Tie
48,3,312,x,s,Scissors,Rock,B_win
48,4,313,p,s,Paper,Rock,A_win
48,5,314,x,x,Scissors,Scissors,Tie
48,6,315,p,s,Paper,Rock,A_win
48,7,316,x,s,Scissors,Rock,B_win
48,8,317,p,x,Paper,Scissors,B_win
49,1,318,s,p,Rock,Paper,B_win
49,2,319,x,p,Scissors,Paper,A_win
49,3,320,p,s,Paper,Rock,A_win
49,4,321,x,x,Scissors,Scissors,Tie
49,5,322,p,s,Paper,Rock,A_win
50,1,323,s,x,Rock,Scissors,A_win
50,2,324,p,p,Paper,Paper,Tie
50,3,325,p,p,Paper,Paper,Tie
50,4,326,x,p,Scissors,Paper,A_win
50,5,327,x,x,Scissors,Scissors,Tie
50,6,328,s,s,Rock,Rock,Tie
50,7,329,s,s,Rock,Rock,Tie
50,8,330,p,p,Paper,Paper,Tie
50,9,331,x,s,Scissors,Rock,B_win
50,10,332,x,p,Scissors,Paper,A_win
51,1,333,x,s,Scissors,Rock,B_win
51,2,334,x,p,Scissors,Paper,A_win
51,3,335,p,s,Paper,Rock,A_win
51,4,336,s,x,Rock,Scissors,A_win
52,1,337,s,p,Rock,Paper,B_win
52,2,338,s,p,Rock,Paper,B_win
52,3,339,s,x,Rock,Scissors,A_win
52,4,340,s,p,Rock,Paper,B_win
53,1,341,p,x,Paper,Scissors,B_win
53,2,342,s,s,Rock,Rock,Tie
53,3,343,s,p,Rock,Paper,B_win
53,4,344,x,p,Scissors,Paper,A_win
53,5,345,p,x,Paper,Scissors,B_win
54,1,346,x,x,Scissors,Scissors,Tie
54,2,347,s,s,Rock,Rock,Tie
54,3,348,x,x,Scissors,Scissors,Tie
54,4,349,x,s,Scissors,Rock,B_win
54,5,350,x,x,Scissors,Scissors,Tie
54,6,351,x,p,Scissors,Paper,A_win
54,7,352,s,s,Rock,Rock,Tie
54,8,353,x,p,Scissors,Paper,A_win
54,9,354,p,x,Paper,Scissors,B_win
54,10,355,x,x,Scissors,Scissors,Tie
54,11,356,s,p,Rock,Paper,B_win
55,1,357,s,s,Rock,Rock,Tie
55,2,358,x,p,Scissors,Paper,A_win
55,3,359,x,s,Scissors,Rock,B_win
55,4,360,x,p,Scissors,Paper,A_win
55,5,361,x,x,Scissors,Scissors,Tie
55,6,362,x,x,Scissors,Scissors,Tie
55,7,363,s,x,Rock,Scissors,A_win
56,1,364,x,x,Scissors,Scissors,Tie
56,2,365,s,s,Rock,Rock,Tie
56,3,366,x,x,Scissors,Scissors,Tie
56,4,367,p,p,Paper,Paper,Tie
56,5,368,x,x,Scissors,Scissors,Tie
56,6,369,x,s,Scissors,Rock,B_win
56,7,370,s,x,Rock,Scissors,A_win
56,8,371,x,p,Scissors,Paper,A_win
56,9,372,p,x,Paper,Scissors,B_win
56,10,373,x,x,Scissors,Scissors,Tie
56,11,374,s,s,Rock,Rock,Tie
56,12,375,x,p,Scissors,Paper,A_win
57,1,376,x,s,Scissors,Rock,B_win
57,2,377,s,p,Rock,Paper,B_win
57,3,378,p,p,Paper,Paper,Tie
57,4,379,x,x,Scissors,Scissors,Tie
